class_id,ten_yr,ten_yr_count_usa,ten_yr_count_germany,ten_yr_count_france
6370,1880,0,0,0
6370,1900,0,0,0
6370,1910,0,0,0
6370,1870,0,0,0
6370,1920,0,0,0
6435,1890,0,0,0
6435,1920,0,0,0
6435,1900,0,0,0
6435,1930,1,0,0
6435,1880,0,0,0
6435,1910,0,0,0
6435,1870,0,0,0
6565,1930,1,0,0
6565,1900,0,0,0
6565,1890,0,0,0
6565,1870,0,0,0
6565,1880,0,0,0
6565,1920,0,0,0
6565,1910,0,0,0
6695,1910,0,0,0
6695,1890,0,0,0
6695,1930,0,1,0
6695,1900,0,0,0
6695,1880,0,0,0
6695,1870,0,0,0
6695,1920,0,0,0
6760,1890,0,0,0
6760,1920,0,0,0
6760,1900,0,0,0
6760,1910,0,1,0
6760,1930,1,2,0
6760,1880,0,0,0
6760,1870,0,0,0
6825,1890,0,0,0
6825,1930,3,1,0
6825,1900,0,1,0
6825,1880,0,0,0
6825,1920,0,0,0
6825,1910,0,0,0
6825,1870,0,0,0
6890,1880,0,0,0
6890,1910,0,0,0
6890,1900,0,0,0
6890,1890,0,0,0
6890,1920,0,0,0
6890,1930,1,0,0
6890,1870,0,0,0
6955,1880,0,0,0
6955,1900,0,0,0
6955,1930,6,1,0
6955,1910,0,0,0
6955,1870,0,0,0
6955,1920,0,0,0
6955,1890,0,0,0
7020,1910,0,0,0
7020,1920,0,0,0
7020,1880,0,0,0
7020,1900,0,0,0
7020,1930,1,0,0
7020,1870,0,0,0
7020,1890,0,0,0
7085,1870,0,0,0
7085,1880,0,0,0
7085,1900,0,0,0
7085,1920,0,0,0
7085,1930,2,0,0
7085,1890,0,0,0
7085,1910,0,0,0
7150,1910,0,0,0
7150,1920,1,1,0
7150,1930,9,3,0
7150,1880,0,0,0
7150,1890,0,0,0
7150,1900,0,1,0
7150,1870,0,0,0
7410,1910,0,0,0
7410,1900,0,2,0
7410,1890,0,0,0
7410,1920,0,0,0
7410,1930,2,0,0
7410,1870,0,0,0
7410,1880,0,0,0
7475,1890,0,0,0
7475,1920,0,0,0
7475,1930,2,0,0
7475,1880,0,0,0
7475,1910,0,0,0
7475,1900,0,0,0
7475,1870,0,0,0
7540,1900,0,0,0
7540,1930,1,1,0
7540,1910,0,0,0
7540,1920,0,0,0
7540,1890,0,0,0
7540,1880,1,0,0
7540,1870,0,0,0
7605,1870,0,0,0
7605,1920,0,0,0
7605,1880,0,1,0
7605,1890,0,0,0
7605,1930,7,0,0
7605,1910,0,0,0
7605,1900,1,0,0
7800,1900,0,0,0
7800,1910,0,0,0
7800,1870,0,0,0
7800,1890,0,0,0
7800,1880,0,0,0
7800,1920,0,0,0
7800,1930,3,1,0
7930,1920,1,1,0
7930,1930,1,3,0
7930,1900,0,2,1
7930,1870,0,0,0
7930,1880,0,0,0
7930,1890,0,0,0
7930,1910,0,1,0
8060,1910,0,0,0
8060,1890,0,0,0
8060,1880,0,0,0
8060,1930,0,0,0
8060,1900,0,0,0
8060,1920,0,1,0
8060,1870,0,0,0
8320,1920,0,0,0
8320,1930,3,0,0
8320,1870,0,0,0
8320,1910,0,0,0
8320,1880,0,0,0
8320,1900,0,0,1
8320,1890,0,0,0
8450,1910,0,0,0
8450,1880,0,0,0
8450,1870,0,0,0
8450,1930,1,1,0
8450,1920,0,0,0
8450,1900,0,0,0
8450,1890,0,0,0
8580,1920,0,0,0
8580,1900,0,0,0
8580,1890,0,0,0
8580,1930,0,1,0
8580,1870,0,0,0
8580,1910,0,1,0
8580,1880,0,0,0
8645,1900,0,0,0
8645,1920,0,0,0
8645,1880,0,0,0
8645,1890,0,0,0
8645,1870,0,0,0
8645,1910,0,0,0
8645,1930,0,0,0
8710,1870,0,0,0
8710,1910,0,0,0
8710,1880,0,0,0
8710,1920,0,0,0
8710,1900,0,0,0
8710,1930,0,1,0
8710,1890,0,0,0
8775,1880,1,0,0
8775,1900,0,3,0
8775,1920,1,1,0
8775,1870,0,0,0
8775,1930,2,0,0
8775,1890,0,0,0
8775,1910,1,0,0
8840,1900,1,1,0
8840,1930,0,0,0
8840,1890,0,0,0
8840,1910,0,0,0
8840,1880,0,0,0
8840,1870,1,0,0
8840,1920,0,0,0
9035,1910,0,0,0
9035,1900,0,3,0
9035,1870,0,0,0
9035,1930,2,0,0
9035,1880,0,0,0
9035,1920,1,0,0
9035,1890,0,0,0
9100,1910,0,0,0
9100,1880,0,0,0
9100,1900,0,2,0
9100,1930,0,0,0
9100,1920,0,0,0
9100,1890,0,0,0
9100,1870,0,0,0
9230,1930,1,0,0
9230,1920,1,0,0
9230,1870,1,0,1
9230,1880,0,0,0
9230,1910,0,1,0
9230,1890,0,0,0
9230,1900,0,3,1
9490,1870,0,0,0
9490,1920,0,0,0
9490,1900,1,0,0
9490,1930,0,0,0
9490,1910,0,0,0
9490,1890,0,0,0
9490,1880,0,0,0
9555,1870,0,0,0
9555,1910,0,0,0
9555,1900,0,1,0
9555,1890,0,0,0
9555,1880,0,0,0
9555,1920,0,0,0
9555,1930,0,1,0
9685,1870,0,0,0
9685,1880,0,0,0
9685,1930,1,1,0
9685,1920,2,1,0
9685,1890,0,0,0
9685,1900,0,3,0
9685,1910,0,1,0
9815,1910,0,0,0
9815,1890,0,0,0
9815,1900,0,0,0
9815,1880,1,0,0
9815,1930,0,0,0
9815,1920,0,0,0
9815,1870,0,0,0
9945,1930,0,0,0
9945,1880,0,1,0
9945,1900,0,0,0
9945,1890,0,0,0
9945,1910,0,0,0
9945,1920,0,0,0
9945,1870,0,0,0
10010,1900,0,0,0
10010,1880,0,0,0
10010,1890,0,0,0
10010,1870,0,0,0
10010,1920,0,2,0
10010,1930,1,0,0
10010,1910,0,0,0
10075,1930,0,1,0
10075,1920,0,2,0
10075,1910,0,0,0
10075,1870,0,0,0
10075,1890,0,0,0
10075,1900,0,1,0
10075,1880,0,0,1
10140,1930,0,0,0
10140,1870,0,0,0
10140,1890,0,0,0
10140,1920,0,0,0
10140,1910,0,0,0
10140,1880,1,0,0
10140,1900,0,0,0
10205,1870,0,0,0
10205,1890,0,0,0
10205,1920,1,0,0
10205,1900,0,0,0
10205,1910,0,0,0
10205,1880,0,1,0
10205,1930,0,0,0
10400,1880,0,0,0
10400,1920,6,1,0
10400,1930,19,4,0
10400,1900,0,2,0
10400,1870,0,0,0
10400,1910,1,1,0
10400,1890,0,0,0
10530,1920,2,1,0
10530,1930,5,1,0
10530,1870,0,0,0
10530,1900,0,9,0
10530,1910,0,1,0
10530,1890,0,0,1
10530,1880,0,0,0
10660,1920,0,0,0
10660,1930,0,1,0
10660,1880,0,0,0
10660,1870,0,0,0
10660,1910,0,0,0
10660,1900,0,0,0
10660,1890,0,0,0
10790,1930,2,1,0
10790,1920,0,1,1
10790,1870,0,0,0
10790,1910,0,0,0
10790,1880,0,0,0
10790,1900,0,1,1
10790,1890,0,0,0
10855,1870,0,0,0
10855,1910,0,0,0
